City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Khatanga,RU,71.9667,102.5,-11.61,86,10,9.01,clear sky
245,Chapais,CA,49.7834,-74.8492,41.0,52,90,6.91,overcast clouds
246,Pital,CO,2.2665,-75.8044,73.42,86,100,3.38,overcast clouds
247,Natal,BR,-5.795,-35.2094,84.2,74,20,12.66,few clouds
248,Berezovyy,RU,51.6667,135.7,16.93,86,34,3.71,scattered clouds
249,Lloydminster,CA,53.2835,-110.0016,51.8,43,75,18.41,broken clouds
250,Safaga,EG,26.7292,33.9365,69.8,16,0,8.05,clear sky
251,Mayo,US,38.8876,-76.5119,69.8,26,1,10.36,clear sky
252,Carbonia,IT,39.1672,8.5222,57.2,87,40,3.44,scattered clouds
253,Kokopo,PG,-4.352,152.2633,77.97,84,94,5.23,overcast clouds
254,Teguise,ES,29.0605,-13.564,66.2,63,20,6.91,few clouds
255,Vizinga,RU,61.0749,50.1031,17.62,98,69,2.77,broken clouds
256,Egvekinot,RU,66.3167,-179.1667,-4.25,76,36,0.69,scattered clouds
257,Novyy Buh,UA,47.6931,32.5216,39.2,87,94,4.47,mist
258,Matara,LK,5.9485,80.5353,75.36,88,100,6.44,overcast clouds
259,Shizunai,JP,42.3339,142.3669,38.44,95,100,1.05,overcast clouds
260,Mumbwa,ZM,-14.9783,27.0619,61.45,84,0,4.72,clear sky
261,Beloha,MG,-25.1667,45.05,67.42,89,12,6.87,light rain
262,Goderich,CA,43.7501,-81.7165,44.6,65,22,9.22,few clouds
263,Onguday,RU,50.75,86.15,31.59,59,0,4.05,clear sky
264,Katsuura,JP,35.1333,140.3,66.2,94,75,5.75,mist
265,Benguela,AO,-12.5763,13.4055,80.33,82,99,4.34,overcast clouds
266,Kathu,TH,7.9178,98.3332,86.0,94,20,2.3,few clouds
267,Iiyama,JP,36.85,138.3667,45.0,86,100,1.01,overcast clouds
268,Yumen,CN,40.2833,97.2,39.22,63,65,8.46,broken clouds
269,Karabulak,RU,43.3036,44.8964,44.6,65,11,8.95,few clouds
270,Corrente,BR,-3.7367,-43.3394,75.97,93,100,3.85,overcast clouds
271,Ulladulla,AU,-35.35,150.4667,68.0,100,90,8.05,overcast clouds
272,Faanui,PF,-16.4833,-151.75,82.08,75,20,9.91,few clouds
273,La Ronge,CA,55.1001,-105.2842,42.8,56,100,17.27,overcast clouds
274,Iqaluit,CA,63.7506,-68.5145,8.6,78,20,2.3,few clouds
275,Skelleftea,SE,64.7507,20.9528,37.99,87,90,10.36,overcast clouds
276,Louis Trichardt,ZA,-23.0439,29.9032,61.0,87,0,3.67,clear sky
277,Yangambi,CD,0.8102,24.4336,72.95,83,100,2.95,overcast clouds
278,Chupa,RU,66.27,33.0549,35.78,97,100,9.75,overcast clouds
